"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AHONEN Mico","FIN",2001,"","","Tq"
"2",NA,"HAUSWIRTH Sandro","SUI",2000,"","","Tq"
"3",NA,"MALTSEV Kevin","EST",2000,"","","Tq"
"4",NA,"MURANKA Klemens","POL",1994,"","","Tq"
"5",NA,"NOUSIAINEN Eetu","FIN",1997,"","","Tq"
"6",NA,"POHJOLA Arttu","FIN",2001,"","","Tq"
"7",NA,"VETELAINEN Jonne","FIN",2000,"","","Tq"
"8",NA,"WOERGOETTER Marco","AUT",2002,"","","Tq"
"9",NA,"HAAGEN David","AUT",2002,"","","DSQK"
"10",NA,"URLAUB Andrew","USA",2001,"","","DSQF"
"11",1,"GRANERUD Halvor Egner","NOR",1996,"137","142","282"
"12",2,"EISENBICHLER Markus","GER",1991,"141","131","272,1"
"13",3,"KUBACKI Dawid","POL",1990,"132","139","265,6"
"14",4,"SATO Yukiya","JPN",1995,"130","146","260,3"
"15",5,"FORFANG Johann Andre","NOR",1995,"136","137,5","255,8"
"16",6,"JOHANSSON Robert","NOR",1990,"138,5","127","249,9"
"17",7,"STOCH Kamil","POL",1987,"130","132","246,5"
"18",8,"GEIGER Karl","GER",1993,"135","129,5","242,5"
"19",9,"FREUND Severin","GER",1988,"126,5","128","229"
"20",10,"LANISEK Anze","SLO",1996,"138,5","118","228,4"
"21",11,"SCHIFFNER Markus","AUT",1992,"127,5","134","227,8"
"22",12,"SCHMID Constantin","GER",1999,"128,5","124,5","220,7"
"23",13,"JELAR Ziga","SLO",1997,"129","127","220,6"
"24",14,"TANDE Daniel Andre","NOR",1994,"129,5","122,5","216,9"
"25",15,"KOBAYASHI Ryoyu","JPN",1996,"121,5","126,5","214,5"
"26",16,"NAKAMURA Naoki","JPN",1996,"134,5","116","213,3"
"27",17,"PAVLOVCIC Bor","SLO",1998,"130","122","212,7"
"28",18,"PREVC Peter","SLO",1992,"126,5","117,5","206,8"
"29",19,"LEITNER Clemens","AUT",1998,"128","118","203,5"
"30",20,"DESCHWANDEN Gregor","SUI",1991,"120","124,5","202,4"
"31",21,"PASCHKE Pius","GER",1990,"130,5","114","202,3"
"32",22,"KAHOFER Timon-Pascal","AUT",1999,"125,5","118,5","201,9"
"33",23,"BRESADOLA Giovanni","ITA",2001,"130","107","198,2"
"34",23,"ZYLA Piotr","POL",1987,"121","116,5","198,2"
"35",25,"WASEK Pawel","POL",1999,"128","117","197,3"
"36",26,"PETER Dominik","SUI",2001,"121,5","117,5","193,4"
"37",27,"KOBAYASHI Junshiro","JPN",1991,"124,5","113","191,4"
"38",28,"LARSON Casey","USA",1998,"129,5","109","184,7"
"39",29,"ITO Daiki","JPN",1985,"124","106,5","168,7"
"40",30,"AIGRO Artti","EST",1999,"134","89","165,7"
"41",31,"HAARE Anders","NOR",1999,"122","","100,2"
"42",32,"BARTOL Tilen","SLO",1997,"122","","99,4"
"43",33,"STEKALA Andrzej","POL",1995,"123","","98"
"44",34,"ERIKSEN Sander Vossan","NOR",2000,"121","","97,8"
"45",35,"HAMANN Martin","GER",1997,"119","","97"
"46",36,"AALTO Antti","FIN",1995,"115","","93,6"
"47",37,"SEMENIC Anze","SLO",1993,"115,5","","93,3"
"48",38,"BOYD-CLOWES Mackenzie","CAN",1991,"118","","93,1"
"49",39,"ZAJC Timi","SLO",2000,"115","","92,1"
"50",40,"FETTNER Manuel","AUT",1985,"118","","90,7"
"51",41,"SATO Keiichi","JPN",1997,"113","","84,6"
"52",42,"WELLINGER Andreas","GER",1995,"114","","82,5"
"53",43,"KYTOESAHO Niko","FIN",1999,"113","","82"
"54",44,"MAEAETTAE Jarkko","FIN",1994,"114","","80,9"
"55",45,"AMMANN Simon","SUI",1981,"113","","80,8"
"56",46,"INSAM Alex","ITA",1997,"112,5","","79,8"
"57",47,"LINDVIK Marius","NOR",1998,"112","","78,8"
"58",48,"ALAMOMMO Andreas","FIN",1998,"107","","64,7"
"59",49,"SOUKUP Matthew","CAN",1997,"104","","60"
